id,Sistema,Dominio,Hito,Historia de Usuario,Como,Quiero,Para,Criterios de Aceptación,Prioridad,Estimación (días),Complejidad,Estado,Dependencias
GT-019,GTIME AWS,Migración,Validación,Crear Lambda para validar transbordos,Como desarrollador,Quiero crear función Lambda para validar transbordos,Para validar estructura y datos de transbordos,Validación de transbordos implementada; Validación de estructura; Validación de coherencia con locaciones; Tests con diferentes escenarios,Media,3,Media,Pendiente,GT-003 GT-005
GT-020,GTIME AWS,Migración,Validación,Crear Lambda para validar locaciones,Como desarrollador,Quiero crear función Lambda para validar locaciones geográficas,Para validar estructura y datos de locaciones,Validación de locaciones implementada; Validación de códigos de locación; Validación contra catálogo si es necesario; Tests con diferentes escenarios,Media,4,Media,Pendiente,GT-003 GT-005
GT-021,GTIME AWS,Migración,Validación,Crear Lambda para validar RUT,Como desarrollador,Quiero crear función Lambda específica para validar formato RUT chileno,Para validar formato y dígito verificador de RUTs,Validación de formato RUT implementada; Validación de dígito verificador; Manejo de diferentes formatos (con y sin puntos guiones); Tests con RUTs válidos e inválidos,Media,2,Baja,Pendiente,GT-003 GT-005
GT-022,GTIME AWS,Migración,Validación,Crear Step Function para orquestar validaciones,Como arquitecto AWS,Quiero crear Step Function que orqueste todas las validaciones,Para ejecutar validaciones secuenciales y paralelas según el diseño actual,Step Function creada con estados secuenciales y paralelos; Map state para validaciones paralelas nivel 1; Map state para validaciones paralelas nivel 2; Map state para validaciones paralelas nivel 3; Manejo de errores configurado; Agregación de resultados implementada,Alta,5,Alta,Pendiente,GT-010 GT-011 GT-012 GT-013 GT-014 GT-015 GT-016 GT-017 GT-018 GT-019 GT-020 GT-021
GT-023,GTIME AWS,Migración,Validación,Crear Lambda agregadora de resultados de validación,Como desarrollador,Quiero crear función Lambda que agregue resultados de todas las validaciones,Para determinar si el documento es aceptado o rechazado,Lambda agregadora creada; Recibe resultados de todas las validaciones; Evalúa si hay errores críticos; Genera DocumentoResponse con lista de validaciones; Determina estadoFinal (ACEPTADO/RECHAZADO); Tests con diferentes escenarios,Alta,3,Media,Pendiente,GT-022
GT-024,GTIME AWS,Migración,Validación,Configurar SQS para cola de validaciones procesadas,Como arquitecto AWS,Quiero configurar cola SQS para documentos validados,Para desacoplar validación de procesamiento,Cola SQS creada; DLQ configurada; Mensaje visibility timeout configurado; Dead letter queue para mensajes fallidos; Integración con Step Function de procesamiento,Alta,2,Baja,Pendiente,GT-023
GT-025,GTIME AWS,Migración,Procesamiento,Crear Lambda para evaluar resultado de validación,Como desarrollador,Quiero crear función Lambda que evalúe el resultado de validación,Para decidir si procesar o rechazar el documento,Lambda evaluadora creada; Lee resultado de validación desde SQS; Evalúa estadoFinal; Decide ruta de procesamiento (aceptado/rechazado); Publica evento en EventBridge según resultado,Alta,3,Media,Pendiente,GT-024 GT-003
GT-026,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir encabezado del documento,Como desarrollador,Quiero crear función Lambda que persista el encabezado del documento,Para almacenar datos principales en DOC_DOCUMENTOS,Lambda creada con conexión a RDS; Inserción en DOC_DOCUMENTOS implementada; Manejo de transacciones; Validación de documento duplicado; Manejo de errores y rollback; Tests de persistencia pasando,Alta,5,Media,Pendiente,GT-002 GT-003 GT-005
GT-027,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir participaciones,Como desarrollador,Quiero crear función Lambda que persista participaciones,Para almacenar participantes en DOC_PARTICIPACIONES,Lambda creada con conexión a RDS; Inserción en DOC_PARTICIPACIONES implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,4,Media,Pendiente,GT-002 GT-003 GT-005
GT-028,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir fechas,Como desarrollador,Quiero crear función Lambda que persista fechas del documento,Para almacenar fechas en DOC_FECHA_DOCUMENTO,Lambda creada con conexión a RDS; Inserción en DOC_FECHA_DOCUMENTO implementada; Manejo de múltiples registros; Validación de fechas; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-029,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir locaciones,Como desarrollador,Quiero crear función Lambda que persista locaciones,Para almacenar locaciones en DOC_LOCACION,Lambda creada con conexión a RDS; Inserción en DOC_LOCACION implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,4,Media,Pendiente,GT-002 GT-003 GT-005
GT-030,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir observaciones,Como desarrollador,Quiero crear función Lambda que persista observaciones,Para almacenar observaciones en DOC_OBSERVACION,Lambda creada con conexión a RDS; Inserción en DOC_OBSERVACION implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-031,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir referencias,Como desarrollador,Quiero crear función Lambda que persista referencias cruzadas,Para almacenar referencias en DOC_RELACION,Lambda creada con conexión a RDS; Inserción en DOC_RELACION implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-032,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir transporte,Como desarrollador,Quiero crear función Lambda que persista datos de transporte,Para almacenar transporte en DOC_TRANSPORTE y DOC_TRAN_ITEM_TRANSPORTE,Lambda creada con conexión a RDS; Inserción en tablas de transporte implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,4,Media,Pendiente,GT-002 GT-003 GT-005
GT-033,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir guía courier,Como desarrollador,Quiero crear función Lambda que persista datos de guía courier,Para almacenar guía en DOC_TRANS_GUIA_COURIER,Lambda creada con conexión a RDS; Inserción en DOC_TRANS_GUIA_COURIER implementada; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-034,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir transbordos,Como desarrollador,Quiero crear función Lambda que persista transbordos,Para almacenar transbordos en DOC_TRANSBORDOS,Lambda creada con conexión a RDS; Inserción en DOC_TRANSBORDOS implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-035,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir vistos buenos,Como desarrollador,Quiero crear función Lambda que persista vistos buenos,Para almacenar vistos buenos en DOC_VISTOS_BUENOS,Lambda creada con conexión a RDS; Inserción en DOC_VISTOS_BUENOS implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-036,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir cargos,Como desarrollador,Quiero crear función Lambda que persista cargos,Para almacenar cargos en DOC_CARGOS,Lambda creada con conexión a RDS; Inserción en DOC_CARGOS implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-037,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir items,Como desarrollador,Quiero crear función Lambda que persista items y productos,Para almacenar items en DOC_TRAN_ITEM_TRANSPORTE y productos relacionados,Lambda creada con conexión a RDS; Inserción en tablas de items implementada; Manejo de múltiples registros; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,5,Media,Pendiente,GT-002 GT-003 GT-005
GT-038,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir estado,Como desarrollador,Quiero crear función Lambda que persista estado del documento,Para almacenar estado en DOC_ESTADO,Lambda creada con conexión a RDS; Inserción en DOC_ESTADO implementada; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,2,Baja,Pendiente,GT-002 GT-003 GT-005
GT-039,GTIME AWS,Migración,Procesamiento,Crear Lambda para persistir imagen,Como desarrollador,Quiero crear función Lambda que persista imagen del documento,Para almacenar imagen en DOC_IMAGEN,Lambda creada con conexión a RDS; Inserción en DOC_IMAGEN implementada; Manejo de BLOB si es necesario; Validación de datos; Manejo de errores; Tests de persistencia pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-040,GTIME AWS,Migración,Procesamiento,Crear Step Function para orquestar persistencia paralela,Como arquitecto AWS,Quiero crear Step Function que orqueste persistencia en paralelo,Para ejecutar todas las persistencias simultáneamente,Step Function creada con Map state para persistencia paralela; Incluye todas las persistencias (14 funciones); Manejo de errores configurado; Agregación de resultados; Rollback en caso de fallo; Tests end-to-end pasando,Alta,5,Alta,Pendiente,GT-026 GT-027 GT-028 GT-029 GT-030 GT-031 GT-032 GT-033 GT-034 GT-035 GT-036 GT-037 GT-038 GT-039
GT-041,GTIME AWS,Migración,Procesamiento,Crear Lambda agregadora de resultados de persistencia,Como desarrollador,Quiero crear función Lambda que agregue resultados de persistencia,Para determinar si la persistencia fue exitosa,Lambda agregadora creada; Recibe resultados de todas las persistencias; Evalúa si hubo errores; Genera respuesta con estado de persistencia; Tests con diferentes escenarios,Alta,3,Media,Pendiente,GT-040
GT-042,GTIME AWS,Migración,Procesamiento,Implementar rollback de transacciones,Como desarrollador,Quiero implementar lógica de rollback,Para revertir cambios en caso de error de persistencia,Logica de rollback implementada; Identifica qué persistencias se ejecutaron; Ejecuta DELETE o UPDATE según corresponda; Manejo de errores durante rollback; Tests de rollback pasando,Alta,5,Alta,Pendiente,GT-040 GT-041
GT-043,GTIME AWS,Migración,Procesamiento,Crear Lambda para actualizar estado de cola,Como desarrollador,Quiero crear función Lambda que actualice estado en tabla de cola,Para registrar el estado del procesamiento del documento,Lambda creada con conexión a RDS; Actualización de estado en tabla de cola implementada; Manejo de estados (PROCESADO ERROR RECHAZADO); Tests de actualización pasando,Media,3,Media,Pendiente,GT-002 GT-003 GT-005
GT-044,GTIME AWS,Migración,Trazabilidad,Crear Lambda Tracer para logs,Como desarrollador,Quiero crear función Lambda que registre eventos de trazabilidad,Para reemplazar el módulo gtime-trazador,Lambda creada; Recibe eventos de trazabilidad; Persiste logs en CloudWatch Logs; Formato de log estructurado; Incluye metadata (idPayload timestamp evento); Tests de logging pasando,Media,4,Media,Pendiente,GT-003
GT-045,GTIME AWS,Migración,Trazabilidad,Configurar CloudWatch Logs para trazabilidad,Como arquitecto AWS,Quiero configurar CloudWatch Logs para centralizar logs,Para tener visibilidad de todos los eventos,Log groups creados para cada Lambda; Log retention configurado (30 días); Métricas de logs configuradas; Dashboard de logs creado; Integración con Lambda Tracer,Media,2,Baja,Pendiente,GT-044
GT-046,GTIME AWS,Migración,Trazabilidad,Configurar X-Ray para trazabilidad distribuida,Como arquitecto AWS,Quiero configurar X-Ray para tracing distribuido,Para rastrear requests a través de todos los componentes,X-Ray habilitado en todas las Lambdas; Sampling rules configuradas; Dashboard de traces creado; Integración con Step Functions; Tests de tracing pasando,Media,3,Media,Pendiente,GT-006 GT-022 GT-040
GT-047,GTIME AWS,Migración,Integración,Integrar Step Function de validación con EventBridge,Como arquitecto AWS,Quiero integrar Step Function de validación con EventBridge,Para ejecutar validaciones cuando se recibe un documento,EventBridge rule configurada para trigger Step Function; Input transformation configurada; Error handling configurado; Tests de integración pasando,Alta,2,Baja,Pendiente,GT-009 GT-022
GT-048,GTIME AWS,Migración,Integración,Integrar Step Function de procesamiento con SQS,Como arquitecto AWS,Quiero integrar Step Function de procesamiento con SQS,Para ejecutar procesamiento cuando hay documento validado,SQS trigger configurado en Step Function; Mensaje parsing implementado; Error handling configurado; DLQ configurada; Tests de integración pasando,Alta,2,Baja,Pendiente,GT-024 GT-040
GT-049,GTIME AWS,Migración,Integración,Configurar WireTap para trazabilidad en procesamiento,Como arquitecto AWS,Quiero configurar publicación de eventos de trazabilidad,Para registrar eventos durante el procesamiento,EventBridge rules configuradas para eventos de trazabilidad; Integración con Lambda Tracer; Eventos configurados (validación procesamiento persistencia error); Tests de publicación pasando,Media,3,Media,Pendiente,GT-044 GT-040
GT-050,GTIME AWS,Migración,Reencolador,Crear EventBridge Scheduled Rule para reencolado,Como arquitecto AWS,Quiero crear regla programada para reencolar mensajes fallidos,Para reemplazar el módulo gtime-cron-reencolador,EventBridge scheduled rule creada (cada 5 minutos); Lambda reencoladora creada; Query a tabla de cola para mensajes fallidos; Reencola mensajes en SQS; Tests de reencolado pasando,Media,5,Media,Pendiente,GT-002 GT-003 GT-024
GT-051,GTIME AWS,Migración,Testing,Crear tests unitarios para Lambda Orchestrator,Como desarrollador,Quiero crear tests unitarios para el Lambda Orchestrator,Para asegurar la calidad del código,Tests unitarios creados con JUnit; Coverage mínimo 80%; Tests de casos edge incluidos; Tests de manejo de errores; Mock de EventBridge; CI/CD configurado,Alta,3,Media,Pendiente,GT-006
GT-052,GTIME AWS,Migración,Testing,Crear tests unitarios para Lambdas de validación,Como desarrollador,Quiero crear tests unitarios para todas las Lambdas de validación,Para asegurar la calidad del código,Tests unitarios creados para cada Lambda de validación; Coverage mínimo 80%; Tests de casos válidos e inválidos; Tests de casos edge; CI/CD configurado,Alta,8,Alta,Pendiente,GT-010 GT-011 GT-012 GT-013 GT-014 GT-015 GT-016 GT-017 GT-018 GT-019 GT-020 GT-021
GT-053,GTIME AWS,Migración,Testing,Crear tests unitarios para Lambdas de persistencia,Como desarrollador,Quiero crear tests unitarios para todas las Lambdas de persistencia,Para asegurar la calidad del código,Tests unitarios creados para cada Lambda de persistencia; Coverage mínimo 80%; Tests con mock de RDS; Tests de rollback; Tests de casos edge; CI/CD configurado,Alta,10,Alta,Pendiente,GT-026 GT-027 GT-028 GT-029 GT-030 GT-031 GT-032 GT-033 GT-034 GT-035 GT-036 GT-037 GT-038 GT-039
GT-054,GTIME AWS,Migración,Testing,Crear tests de integración end-to-end,Como desarrollador,Quiero crear tests de integración end-to-end,Para validar el flujo completo del sistema,Tests de integración creados; Flujo completo desde API Gateway hasta RDS; Tests con datos reales; Tests de error scenarios; Tests de performance básicos; Ambiente de testing configurado,Alta,5,Alta,Pendiente,GT-008 GT-047 GT-048
GT-055,GTIME AWS,Migración,Testing,Configurar ambiente de pruebas en AWS,Como arquitecto AWS,Quiero configurar ambiente de pruebas completo en AWS,Para ejecutar tests de integración,Ambiente de pruebas creado con todos los recursos; RDS de pruebas configurado; Datos de prueba cargados; Scripts de cleanup implementados; Documentación de ambiente creada,Alta,3,Media,Pendiente,GT-002 GT-008
GT-056,GTIME AWS,Migración,Monitoreo,Configurar CloudWatch Metrics y Alarms,Como arquitecto AWS,Quiero configurar métricas y alarmas en CloudWatch,Para monitorear el sistema en producción,Métricas personalizadas configuradas; Alarms para errores de Lambda configuradas; Alarms para errores de Step Functions; Alarms para RDS (CPU memoria conexiones); Alarms para SQS (mensajes en DLQ); Notificaciones SNS configuradas,Alta,4,Media,Pendiente,GT-006 GT-022 GT-040
GT-057,GTIME AWS,Migración,Monitoreo,Crear CloudWatch Dashboard operativo,Como arquitecto AWS,Quiero crear dashboard en CloudWatch para monitoreo operativo,Para visualizar métricas clave del sistema,Dashboard creado con métricas principales; Gráficos de throughput de documentos; Gráficos de latencia; Gráficos de errores; Gráficos de recursos (Lambda RDS); Filtros y widgets configurados,Media,3,Media,Pendiente,GT-056
GT-058,GTIME AWS,Migración,Monitoreo,Configurar alertas SNS para incidentes,Como arquitecto AWS,Quiero configurar alertas SNS para notificar incidentes,Para que el equipo sea notificado de problemas,SNS topic creado; Suscripciones configuradas (email Slack); Integración con CloudWatch Alarms; Tests de notificaciones pasando,Media,2,Baja,Pendiente,GT-056
GT-059,GTIME AWS,Migración,Seguridad,Configurar Secrets Manager para credenciales,Como arquitecto AWS,Quiero configurar Secrets Manager para almacenar credenciales,Para proteger credenciales de base de datos y APIs,Secrets creados en Secrets Manager; Rotación automática configurada si es posible; Integración con Lambda para lectura; Políticas IAM configuradas; Tests de acceso pasando,Alta,2,Baja,Pendiente,GT-002 GT-003
GT-060,GTIME AWS,Migración,Seguridad,Configurar encriptación en tránsito y reposo,Como arquitecto AWS,Quiero configurar encriptación para datos en tránsito y reposo,Para cumplir con requisitos de seguridad,Encriptación TLS configurada para API Gateway; Encriptación TLS configurada para Lambda; Encriptación habilitada en RDS; KMS keys configuradas; Tests de encriptación pasando,Alta,3,Media,Pendiente,GT-002 GT-008
GT-061,GTIME AWS,Migración,Seguridad,Configurar autenticación en API Gateway,Como arquitecto AWS,Quiero configurar autenticación en API Gateway,Para proteger el endpoint de acceso no autorizado,Autenticación API Key configurada o Cognito; Rate limiting configurado; Throttling configurado; Tests de autenticación pasando; Documentación de autenticación creada,Alta,3,Media,Pendiente,GT-008
GT-062,GTIME AWS,Migración,CI/CD,Configurar pipeline CI/CD con CodePipeline,Como desarrollador,Quiero configurar pipeline CI/CD para despliegue automático,Para automatizar el despliegue de código,Pipeline CodePipeline creado; Source stage configurado (CodeCommit GitHub); Build stage con CodeBuild configurado; Deploy stage configurado; Tests automáticos en pipeline; Rollback automático en caso de fallo,Alta,5,Media,Pendiente,GT-051 GT-052 GT-053
GT-063,GTIME AWS,Migración,CI/CD,Configurar CodeBuild para compilación,Como desarrollador,Quiero configurar CodeBuild para compilar y empaquetar Lambdas,Para automatizar el build de las funciones Lambda,Buildspec.yml creado; Compilación Java configurada; Empaquetado Lambda configurado; Tests unitarios en build; Artifacts configurados; Tests de build pasando,Alta,3,Media,Pendiente,GT-062
GT-064,GTIME AWS,Migración,CI/CD,Configurar despliegue automático con CodeDeploy,Como desarrollador,Quiero configurar CodeDeploy para despliegue automático,Para automatizar el despliegue de Lambdas,CodeDeploy configurado para Lambda; Deployment groups creados; Rollback automático configurado; Tests de despliegue pasando; Notificaciones de despliegue configuradas,Alta,3,Media,Pendiente,GT-062
GT-065,GTIME AWS,Migración,Optimización,Optimizar tamaño de deployment de Lambdas,Como desarrollador,Quiero optimizar el tamaño de deployment de Lambdas,Para reducir tiempos de cold start y costos,Análisis de dependencias completado; Dependencias innecesarias eliminadas; Lambda Layers configuradas para dependencias comunes; Tamaño de deployment optimizado; Tests de performance pasando,Media,3,Media,Pendiente,GT-006 GT-010
GT-066,GTIME AWS,Migración,Optimización,Configurar Provisioned Concurrency para Lambdas críticas,Como arquitecto AWS,Quiero configurar Provisioned Concurrency para Lambdas críticas,Para reducir cold starts en producción,Provisioned Concurrency configurado para Orchestrator; Configurado para Validator; Configurado para Processor; Análisis de costos realizado; Tests de cold start pasando,Media,4,Media,Pendiente,GT-006 GT-010 GT-025
GT-067,GTIME AWS,Migración,Optimización,Configurar RDS Proxy para connection pooling,Como arquitecto AWS,Quiero configurar RDS Proxy para optimizar conexiones,Para reducir carga en RDS y mejorar performance,RDS Proxy configurado; Connection pooling habilitado; Integración con Lambda configurada; Tests de conexión pasando; Análisis de performance realizado,Media,4,Media,Pendiente,GT-002 GT-003
GT-068,GTIME AWS,Migración,Optimización,Optimizar consultas SQL y agregar índices,Como desarrollador,Quiero optimizar consultas SQL y agregar índices necesarios,Para mejorar performance de persistencia,Análisis de queries realizado; Índices creados en tablas principales; Queries optimizadas; Explain plans revisados; Tests de performance pasando,Media,5,Media,Pendiente,GT-026 GT-027 GT-028 GT-029 GT-030 GT-031 GT-032 GT-033 GT-034 GT-035 GT-036 GT-037 GT-038 GT-039
GT-069,GTIME AWS,Migración,Documentación,Documentar arquitectura AWS final,Como arquitecto AWS,Quiero documentar la arquitectura AWS implementada,Para tener documentación actualizada del sistema,Diagramas de arquitectura actualizados; Documentación de componentes creada; Documentación de flujos creada; Documentación de APIs creada; Documentación técnica completa,Media,3,Media,Pendiente,GT-054
GT-070,GTIME AWS,Migración,Documentación,Crear runbooks operativos,Como arquitecto AWS,Quiero crear runbooks operativos para el equipo,Para documentar procedimientos operativos comunes,Runbook de despliegue creado; Runbook de troubleshooting creado; Runbook de escalamiento creado; Runbook de rollback creado; Runbook de monitoreo creado,Media,4,Media,Pendiente,GT-056 GT-057
GT-071,GTIME AWS,Migración,Documentación,Crear guía de desarrollo para nuevos desarrolladores,Como desarrollador,Quiero crear guía de desarrollo para nuevos desarrolladores,Para facilitar el onboarding de nuevos miembros,Guía de setup de ambiente local creada; Guía de desarrollo de Lambdas creada; Guía de testing creada; Guía de debugging creada; Ejemplos de código incluidos,Media,3,Media,Pendiente,GT-062
GT-072,GTIME AWS,Migración,Migración de Datos,Crear script de migración de datos históricos,Como desarrollador,Quiero crear script para migrar datos históricos si es necesario,Para migrar datos existentes a la nueva estructura,Script de migración creado; Validación de datos implementada; Script de rollback creado; Tests de migración pasando; Documentación de migración creada,Media,5,Media,Pendiente,GT-002
GT-073,GTIME AWS,Migración,Go-Live,Ejecutar migración piloto con 10% de carga,Como gestor de proyecto,Quiero ejecutar migración piloto con porcentaje pequeño de carga,Para validar el sistema antes de migración completa,Piloto ejecutado con éxito; Métricas monitoreadas; Problemas identificados y resueltos; Documentación de lecciones aprendidas; Aprobación para migración completa,Alta,5,Alta,Pendiente,GT-054 GT-056 GT-057
